"FEATURE,N,8,0","IDINCENDIO,N,10,5","NUMPARTE,N,12,5","FECHA,C,4","CMUNICIPIO,N,5,0","MUNICIPIO,C,100","FECHAEXTIN,C,10","SUPFOREST,N,19,2","SUPQUEMADA,N,19,2","SUPDIBUJO,N,19,2","GEOM_AREA,N,19,2","GEOM_PERI,N,19,2","BEGINLIFE,C,10"
30200036,55,2011310364,2011,77,Corella,22/07/2011,0.31,0.31,0.31,3090.42,290.52,01/01/2020
30200036,56,2011310369,2011,190,Olejua,24/07/2011,0.92,0.92,0.92,9191.81,386.04,01/01/2020
30200036,57,2011310389,2011,187,Oiz,05/07/2011,1.12,1.12,1.12,11177.02,443.22,01/01/2020
30200036,58,2011310395,2011,245,Urzainqui / Urzainki,10/08/2011,0.97,0.97,0.97,9724.28,451.73,01/01/2020
30200036,59,2011310400,2011,185,Ochagavía / Otsagabia,14/0872011,0.28,0.28,0.28,2796.52,361.22,01/01/2020
30200036,60,2011310408,2011,189,Olazti / Olazagutía,20/08/2011,0.05,0.05,0.05,512.42,98.45,01/01/2020
30200036,61,2011310410,2011,108,Fustiñana,22/08/2011,0.07,0.07,0.07,727.15,139.14,01/01/2020
30200036,62,2011310410,2011,108,Fustiñana,22/08/2011,0.03,0.03,0.03,346.61,94.84,01/01/2020
30200036,63,2011310411,2011,126,Imotz,22/08/2011,3.39,3.39,3.39,33871.61,775.23,01/01/2020
30200036,64,2011310412,2011,116,Genevilla,22/08/2011,0.96,0.96,0.96,9576.89,397.23,01/01/2020
30200036,65,2011310413,2011,17,Anue,23/08/2011,0.09,0.09,0.09,868.62,123.25,01/01/2020
30200036,66,2011310423,2011,10,Altsasu / Alsasua,31/08/2011,0.01,0.01,0.01,147.36,48.62,01/01/2020
30200036,67,2011310425,2011,160,Luquin,02/09/2011,0.43,0.43,0.43,4275.33,308.25,01/01/2020
30200036,68,2011310444,2011,150,Leoz / Leotz,15/09/2011,8.96,8.96,8.96,89631.43,1253.22,01/01/2020
30200036,69,2011310446,2011,169,Milagro,17/09/2011,0.72,0.72,0.72,7239.98,442.33,01/01/2020
30200036,70,2011310462,2011,8,Aguilar de Codés,01/09/2011,0.27,0.27,0.27,2720.59,207.41,01/01/2020
