Date,TotalSteps,TotalDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,TotalMinutesAsleep,type
2016-04-28,5417,4.30000019073486,11,10,139,711,2884,506.0,Sleepers
2016-04-29,6175,4.90000009536743,3,7,172,767,2982,527.0,Sleepers
2016-04-30,2946,2.33999991416931,0,0,121,780,2660,468.0,Sleepers
2016-05-01,11419,9.0600004196167,71,10,127,669,3369,475.0,Sleepers
2016-05-02,6064,4.80999994277954,63,4,142,802,3491,351.0,NonSleepers
2016-05-03,8712,6.90999984741211,71,20,195,822,3784,405.0,NonSleepers
2016-05-04,7875,6.23999977111816,19,10,167,680,3110,441.0,Sleepers
2016-05-05,8567,6.78999996185303,66,3,214,764,3783,381.0,NonSleepers
2016-05-06,7045,5.59000015258789,74,5,166,831,3644,323.0,NonSleepers
2016-05-07,4468,3.53999996185303,0,0,158,851,2799,459.0,Sleepers
2016-05-08,2943,2.32999992370605,0,0,139,621,2685,545.0,Sleepers
2016-05-09,8382,6.65000009536743,71,13,171,772,3721,359.0,NonSleepers
2016-05-10,6582,5.21999979019165,63,13,152,840,3586,342.0,NonSleepers
2016-05-11,9143,7.25,72,10,184,763,3788,368.0,NonSleepers
2016-05-12,4561,3.61999988555908,8,6,102,433,1976,496.0,Sleepers
2016-04-12,2564,1.63999998569489,0,0,116,831,2044,458.0,Sleepers
2016-04-13,1320,0.839999973773956,0,0,82,806,1934,531.0,Sleepers
2016-04-14,1219,0.779999971389771,0,0,84,853,1963,486.0,Sleepers
2016-04-15,2483,1.5900000333786,0,0,126,937,2009,363.0,NonSleepers
2016-04-20,3147,2.00999999046326,0,10,139,744,2188,528.0,Sleepers
2016-04-22,4068,2.59999990463257,1,20,195,817,2419,391.0,NonSleepers
2016-04-23,5245,3.35999989509583,8,45,232,795,2748,339.0,NonSleepers
2016-04-27,1758,1.12999999523163,0,0,112,900,2067,423.0,NonSleepers
2016-04-28,6157,3.94000005722046,0,0,310,714,2780,402.0,NonSleepers
2016-04-29,8360,5.34999990463257,6,14,380,634,3101,398.0,NonSleepers
2016-04-30,7174,4.59000015258789,10,20,301,749,2896,343.0,NonSleepers
2016-05-01,1619,1.03999996185303,0,0,79,834,1962,503.0,Sleepers
2016-05-02,1831,1.16999995708466,0,0,101,916,2015,415.0,NonSleepers
2016-05-03,2421,1.54999995231628,0,0,156,739,2297,516.0,Sleepers
2016-05-04,2283,1.46000003814697,0,0,129,848,2067,439.0,Sleepers
