Date,TotalSteps,TotalDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,TotalMinutesAsleep,type
2016-04-23,12058,8.06999969482422,0,92,252,724,1638,235.0,NonSleepers
2016-04-24,14112,10.0,30,95,129,660,1655,310.0,NonSleepers
2016-04-25,11177,8.47999954223633,50,9,133,781,1570,262.0,NonSleepers
2016-04-26,11388,7.61999988555908,7,95,170,797,1551,250.0,NonSleepers
2016-04-27,7193,5.03999996185303,0,10,176,714,1377,349.0,NonSleepers
2016-04-28,7114,4.88000011444092,15,8,190,804,1407,261.0,NonSleepers
2016-04-29,10645,7.75,36,32,150,744,1545,333.0,NonSleepers
2016-04-30,13238,9.19999980926514,43,52,194,687,1650,237.0,NonSleepers
2016-05-01,10414,7.07000017166138,41,40,124,691,1501,383.0,NonSleepers
2016-05-02,16520,11.0500001907349,24,143,176,713,1760,230.0,NonSleepers
2016-05-03,14335,9.59000015258789,47,41,258,594,1710,292.0,NonSleepers
2016-05-04,13559,9.4399995803833,14,96,142,852,1628,213.0,NonSleepers
2016-05-05,12312,8.57999992370605,14,88,178,680,1618,318.0,NonSleepers
2016-05-06,11677,8.27999973297119,29,55,168,676,1590,323.0,NonSleepers
2016-05-07,11550,7.73000001907349,0,86,208,703,1574,237.0,NonSleepers
2016-05-08,13585,9.09000015258789,9,116,171,688,1633,259.0,NonSleepers
2016-05-10,13072,8.77999973297119,1,115,196,676,1630,312.0,NonSleepers
2016-04-12,8539,6.11999988555908,4,15,331,712,3654,501.0,Sleepers
2016-05-03,4496,3.22000002861023,0,0,174,950,2828,322.0,NonSleepers
2016-05-04,10252,7.34999990463257,13,46,346,531,3879,478.0,Sleepers
2016-05-05,11728,8.43000030517578,38,42,196,916,3429,226.0,NonSleepers
2016-05-06,4369,3.13000011444092,0,0,177,855,2704,385.0,NonSleepers
2016-05-08,5862,4.19999980926514,0,0,263,775,3089,364.0,NonSleepers
2016-05-10,5546,3.98000001907349,0,0,206,774,2926,442.0,Sleepers
2016-04-14,10210,6.88000011444092,1,9,339,589,2302,535.0,Sleepers
2016-04-15,5664,3.79999995231628,0,0,228,752,1985,465.0,Sleepers
2016-04-16,4744,3.1800000667572,0,0,194,724,1884,506.0,Sleepers
2016-04-18,2276,1.54999995231628,1,9,58,824,1632,515.0,Sleepers
2016-04-19,8925,5.98999977111816,0,0,311,604,2200,461.0,Sleepers
2016-04-20,8954,6.01000022888184,0,18,306,671,2220,523.0,Sleepers
2016-04-22,4500,3.01999998092651,1,19,176,709,1886,533.0,Sleepers
2016-04-24,4081,2.74000000953674,1,5,191,692,1880,467.0,Sleepers
2016-04-25,9259,6.21000003814697,0,8,390,544,2314,488.0,Sleepers
2016-04-26,9899,6.6399998664856,8,21,288,649,2236,505.0,Sleepers
2016-04-27,10780,7.23000001907349,6,47,300,680,2324,286.0,NonSleepers
2016-04-28,10817,7.28000020980835,13,8,359,552,2367,497.0,Sleepers
2016-04-29,7990,5.3600001335144,6,18,289,624,2175,523.0,Sleepers
2016-04-30,8221,5.51999998092651,6,38,196,695,2092,490.0,Sleepers
2016-05-01,1251,0.839999973773956,0,0,67,836,1593,484.0,Sleepers
2016-05-02,9261,6.23999977111816,0,11,344,585,2270,478.0,Sleepers
2016-05-03,9648,6.46999979019165,8,26,287,669,2235,474.0,Sleepers
2016-05-06,9524,6.42000007629395,6,11,314,692,2266,450.0,Sleepers
2016-05-07,7937,5.32999992370605,3,28,279,586,2158,507.0,Sleepers
2016-05-08,3672,2.46000003814697,0,0,153,603,1792,602.0,Sleepers
2016-05-09,10378,6.96000003814697,2,14,374,490,2345,535.0,Sleepers
2016-05-10,9487,6.36999988555908,3,12,329,555,2260,487.0,Sleepers
2016-05-11,9129,6.13000011444092,3,18,311,574,2232,529.0,Sleepers
2016-04-15,8758,6.73000001907349,0,0,299,837,3066,499.0,Sleepers
2016-04-16,6580,5.05999994277954,6,9,253,609,3073,426.0,NonSleepers
2016-04-17,4660,3.57999992370605,0,0,201,721,2572,619.0,Sleepers
2016-04-19,10181,7.82999992370605,20,16,249,704,3015,329.0,NonSleepers
2016-04-20,10553,8.11999988555908,19,42,228,696,3083,421.0,NonSleepers
2016-04-21,10055,7.73000001907349,7,12,272,853,3069,442.0,Sleepers
2016-04-23,13236,10.1800003051758,58,5,215,749,3306,478.0,Sleepers
2016-04-24,10243,7.88000011444092,14,8,239,584,2885,552.0,Sleepers
2016-04-26,9461,7.28000020980835,14,23,224,673,2929,319.0,NonSleepers
2016-04-27,11193,8.60999965667725,11,48,241,684,3074,439.0,Sleepers
2016-04-28,10074,7.75,19,9,234,878,2969,428.0,NonSleepers
2016-04-30,12533,9.64000034332275,14,43,300,537,3283,409.0,NonSleepers
