service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date                                                                                                                                                                                                                                                                       
2022-12-272022-12-30022611,1,1,1,1,1,1,1,20221227,20221230                                                                                                                                                                                                                                                                                                    
2023-01-032023-05-07022611,1,1,1,1,1,1,1,20230103,20230507                                                                                                                                                                                                                                                                                                    
2022-12-132022-12-25022851,1,1,1,1,1,1,1,20221213,20221225                                                                                                                                                                                                                                                                                                    
2022-12-272023-01-01022851,1,1,1,1,1,1,1,20221227,20230101                                                                                                                                                                                                                                                                                                    
2023-01-032023-02-26022851,1,1,1,1,1,1,1,20230103,20230226                                                                                                                                                                                                                                                                                                    
2022-12-132022-12-25022852,1,1,1,1,1,1,1,20221213,20221225                                                                                                                                                                                                                                                                                                    
2022-12-272023-01-01022852,1,1,1,1,1,1,1,20221227,20230101                                                                                                                                                                                                                                                                                                    
2023-01-032023-02-26022852,1,1,1,1,1,1,1,20230103,20230226                                                                                                                                                                                                                                                                                                    
2022-12-132022-12-16023101,1,1,1,1,1,1,1,20221213,20221216                                                                                                                                                                                                                                                                                                    
2022-12-172022-12-17023101,1,1,1,1,1,1,1,20221217,20221217                                                                                                                                                                                                                                                                                                    
2022-12-182022-12-23023101,1,1,1,1,1,1,1,20221218,20221223                                                                                                                                                                                                                                                                                                    
2022-12-242022-12-24023101,1,1,1,1,1,1,1,20221224,20221224                                                                                                                                                                                                                                                                                                    
2022-12-252022-12-30023101,1,1,1,1,1,1,1,20221225,20221230                                                                                                                                                                                                                                                                                                    
2022-12-312022-12-31023101,1,1,1,1,1,1,1,20221231,20221231                                                                                                                                                                                                                                                                                                    
2023-01-012023-04-06023101,1,1,1,1,1,1,1,20230101,20230406                                                                                                                                                                                                                                                                                                    
2023-04-092023-05-07023101,1,1,1,1,1,1,1,20230409,20230507                                                                                                                                                                                                                                                                                                    
2022-12-132022-12-16023601,1,1,1,1,1,1,1,20221213,20221216                                                                                                                                                                                                                                                                                                    
2022-12-182022-12-23023601,1,1,1,1,1,1,1,20221218,20221223                                                                                                                                                                                                                                                                                                    
2022-12-252022-12-30023601,1,1,1,1,1,1,1,20221225,20221230                                                                                                                                                                                                                                                                                                    
2023-01-012023-05-07023601,1,1,1,1,1,1,1,20230101,20230507                                                                                                                                                                                                                                                                                                    
2022-12-132022-12-16023611,1,1,1,1,1,1,1,20221213,20221216                                                                                                                                                                                                                                                                                                    
2022-12-182022-12-23023611,1,1,1,1,1,1,1,20221218,20221223                                                                                                                                                                                                                                                                                                    
2022-12-252022-12-30023611,1,1,1,1,1,1,1,20221225,20221230                                                                                                                                                                                                                                                                                                    
2023-01-012023-05-07023611,1,1,1,1,1,1,1,20230101,20230507                                                                                                                                                                                                                                                                                                    
2022-12-132022-12-25023651,1,1,1,1,1,1,1,20221213,20221225                                                                                                                                                                                                                                                                                                    
2022-12-262022-12-26023651,1,1,1,1,1,1,1,20221226,20221226                                                                                                                                                                                                                                                                                                    
2022-12-272023-01-01023651,1,1,1,1,1,1,1,20221227,20230101                                                                                                                                                                                                                                                                                                    
2023-01-022023-01-02023651,1,1,1,1,1,1,1,20230102,20230102                                                                                                                                                                                                                                                                                                    
2023-01-032023-02-26023651,1,1,1,1,1,1,1,20230103,20230226                                                                                                                                                                                                                                                                                                    
2022-12-132022-12-25023652,1,1,1,1,1,1,1,20221213,20221225                                                                                                                                                                                                                                                                                                    
2022-12-262022-12-26023652,1,1,1,1,1,1,1,20221226,20221226                                                                                                                                                                                                                                                                                                    
2022-12-272023-01-01023652,1,1,1,1,1,1,1,20221227,20230101                                                                                                                                                                                                                                                                                                    
2023-01-022023-01-02023652,1,1,1,1,1,1,1,20230102,20230102                                                                                                                                                                                                                                                                                                    
2023-01-032023-02-26023652,1,1,1,1,1,1,1,20230103,20230226                                                                                                                                                                                                                                                                                                    
2022-12-132022-12-16023711,1,1,1,1,1,1,1,20221213,20221216                                                                                                                                                                                                                                                                                                    
2022-12-182022-12-23023711,1,1,1,1,1,1,1,20221218,20221223                                                                                                                                                                                                                                                                                                    
2022-12-252022-12-28023711,1,1,1,1,1,1,1,20221225,20221228                                                                                                                                                                                                                                                                                                    
2023-01-092023-04-06023711,1,1,1,1,1,1,1,20230109,20230406                                                                                                                                                                                                                                                                                                    
2023-04-082023-04-29023711,1,1,1,1,1,1,1,20230408,20230429                                                                                                                                                                                                                                                                                                    
2023-05-022023-05-02023711,1,1,1,1,1,1,1,20230502,20230502                                                                                                                                                                                                                                                                                                    
2023-05-032023-05-07023711,1,1,1,1,1,1,1,20230503,20230507                                                                                                                                                                                                                                                                                                    
2022-12-132023-02-26023751,1,1,1,1,1,1,1,20221213,20230226                                                                                                                                                                                                                                                                                                    
2022-12-132023-02-26023752,1,1,1,1,1,1,1,20221213,20230226                                                                                                                                                                                                                                                                                                    
2022-12-132023-02-26023753,1,1,1,1,1,1,1,20221213,20230226                                                                                                                                                                                                                                                                                                    
2022-12-132023-02-26023754,1,1,1,1,1,1,1,20221213,20230226                                                                                                                                                                                                                                                                                                    
2022-12-132023-02-26023755,1,1,1,1,1,1,1,20221213,20230226                                                                                                                                                                                                                                                                                                    
2022-12-132022-12-16023801,1,1,1,1,1,1,1,20221213,20221216                                                                                                                                                                                                                                                                                                    
2022-12-182022-12-23023801,1,1,1,1,1,1,1,20221218,20221223                                                                                                                                                                                                                                                                                                    
2022-12-252022-12-28023801,1,1,1,1,1,1,1,20221225,20221228                                                                                                                                                                                                                                                                                                    
2023-01-092023-04-06023801,1,1,1,1,1,1,1,20230109,20230406                                                                                                                                                                                                                                                                                                    
2023-04-082023-04-29023801,1,1,1,1,1,1,1,20230408,20230429                                                                                                                                                                                                                                                                                                    
2023-05-012023-05-01023801,1,1,1,1,1,1,1,20230501,20230501                                                                                                                                                                                                                                                                                                    
2023-05-022023-05-07023801,1,1,1,1,1,1,1,20230502,20230507                                                                                                                                                                                                                                                                                                    
2022-12-132023-02-26023841,1,1,1,1,1,1,1,20221213,20230226                                                                                                                                                                                                                                                                                                    
2022-12-132023-02-26023842,1,1,1,1,1,1,1,20221213,20230226                                                                                                                                                                                                                                                                                                    
2022-12-132023-02-26023843,1,1,1,1,1,1,1,20221213,20230226                                                                                                                                                                                                                                                                                                    
2022-12-132023-02-26023844,1,1,1,1,1,1,1,20221213,20230226                                                                                                                                                                                                                                                                                                    
2022-12-132023-02-26023845,1,1,1,1,1,1,1,20221213,20230226                                                                                                                                                                                                                                                                                                    
2023-01-232023-05-07023901,1,1,1,1,1,1,1,20230123,20230507                                                                                                                                                                                                                                                                                                    
2022-12-132023-02-26023941,1,1,1,1,1,1,1,20221213,20230226                                                                                                                                                                                                                                                                                                    
2022-12-132023-02-26023942,1,1,1,1,1,1,1,20221213,20230226                                                                                                                                                                                                                                                                                                    
2022-12-132023-02-26024941,1,1,1,1,1,1,1,20221213,20230226                                                                                                                                                                                                                                                                                                    
2022-12-132023-02-26024942,1,1,1,1,1,1,1,20221213,20230226                                                                                                                                                                                                                                                                                                    
2022-12-132022-12-16030621,1,1,1,1,1,1,1,20221213,20221216                                                                                                                                                                                                                                                                                                    
2022-12-172022-12-17030621,1,1,1,1,1,1,1,20221217,20221217                                                                                                                                                                                                                                                                                                    
2022-12-182022-12-23030621,1,1,1,1,1,1,1,20221218,20221223                                                                                                                                                                                                                                                                                                    
2022-12-242022-12-24030621,1,1,1,1,1,1,1,20221224,20221224                                                                                                                                                                                                                                                                                                    
2022-12-252022-12-30030621,1,1,1,1,1,1,1,20221225,20221230                                                                                                                                                                                                                                                                                                    
2022-12-312022-12-31030621,1,1,1,1,1,1,1,20221231,20221231                                                                                                                                                                                                                                                                                                    
2023-01-012023-12-09030621,1,1,1,1,1,1,1,20230101,20231209                                                                                                                                                                                                                                                                                                    
2022-12-132022-12-16030622,1,1,1,1,1,1,1,20221213,20221216                                                                                                                                                                                                                                                                                                    
2022-12-182022-12-23030622,1,1,1,1,1,1,1,20221218,20221223                                                                                                                                                                                                                                                                                                    
2022-12-252022-12-30030622,1,1,1,1,1,1,1,20221225,20221230                                                                                                                                                                                                                                                                                                    
2023-01-012023-12-09030622,1,1,1,1,1,1,1,20230101,20231209                                                                                                                                                                                                                                                                                                    
2022-12-132022-12-16030623,1,1,1,1,1,1,1,20221213,20221216                                                                                                                                                                                                                                                                                                    
2022-12-182022-12-23030623,1,1,1,1,1,1,1,20221218,20221223                                                                                                                                                                                                                                                                                                    
2022-12-252022-12-30030623,1,1,1,1,1,1,1,20221225,20221230                                                                                                                                                                                                                                                                                                    
2023-01-012023-12-09030623,1,1,1,1,1,1,1,20230101,20231209                                                                                                                                                                                                                                                                                                    
2022-12-132022-12-16030624,1,1,1,1,1,1,1,20221213,20221216                                                                                                                                                                                                                                                                                                    
2022-12-182022-12-23030624,1,1,1,1,1,1,1,20221218,20221223                                                                                                                                                                                                                                                                                                    
2022-12-252022-12-30030624,1,1,1,1,1,1,1,20221225,20221230                                                                                                                                                                                                                                                                                                    
2023-01-012023-12-09030624,1,1,1,1,1,1,1,20230101,20231209                                                                                                                                                                                                                                                                                                    
2022-12-132022-12-16030631,1,1,1,1,1,1,1,20221213,20221216                                                                                                                                                                                                                                                                                                    
2022-12-182022-12-23030631,1,1,1,1,1,1,1,20221218,20221223                                                                                                                                                                                                                                                                                                    
2022-12-252022-12-30030631,1,1,1,1,1,1,1,20221225,20221230                                                                                                                                                                                                                                                                                                    
2023-01-012023-12-09030631,1,1,1,1,1,1,1,20230101,20231209                                                                                                                                                                                                                                                                                                    
2022-12-132022-12-16030632,1,1,1,1,1,1,1,20221213,20221216                                                                                                                                                                                                                                                                                                    
2022-12-182022-12-23030632,1,1,1,1,1,1,1,20221218,20221223                                                                                                                                                                                                                                                                                                    
2022-12-252022-12-30030632,1,1,1,1,1,1,1,20221225,20221230                                                                                                                                                                                                                                                                                                    
2023-01-012023-12-09030632,1,1,1,1,1,1,1,20230101,20231209                                                                                                                                                                                                                                                                                                    
2022-12-132022-12-16030633,1,1,1,1,1,1,1,20221213,20221216                                                                                                                                                                                                                                                                                                    
2022-12-182022-12-23030633,1,1,1,1,1,1,1,20221218,20221223                                                                                                                                                                                                                                                                                                    
2022-12-252022-12-30030633,1,1,1,1,1,1,1,20221225,20221230                                                                                                                                                                                                                                                                                                    
2023-01-012023-12-09030633,1,1,1,1,1,1,1,20230101,20231209                                                                                                                                                                                                                                                                                                    
2022-12-132022-12-16030711,1,1,1,1,1,1,1,20221213,20221216                                                                                                                                                                                                                                                                                                    
2022-12-182022-12-23030711,1,1,1,1,1,1,1,20221218,20221223                                                                                                                                                                                                                                                                                                    
2023-01-092023-03-19030711,1,1,1,1,1,1,1,20230109,20230319                                                                                                                                                                                                                                                                                                    
2023-03-212023-03-31030711,1,1,1,1,1,1,1,20230321,20230331                                                                                                                                                                                                                                                                                                    
2022-12-172022-12-17030731,1,1,1,1,1,1,1,20221217,20221217                                                                                                                                                                                                                                                                                                    
2022-12-182022-12-23030731,1,1,1,1,1,1,1,20221218,20221223                                                                                                                                                                                                                                                                                                    
2022-12-242022-12-24030731,1,1,1,1,1,1,1,20221224,20221224                                                                                                                                                                                                                                                                                                    
2022-12-252022-12-30030731,1,1,1,1,1,1,1,20221225,20221230                                                                                                                                                                                                                                                                                                    
2022-12-312022-12-31030731,1,1,1,1,1,1,1,20221231,20221231                                                                                                                                                                                                                                                                                                    
2023-01-012023-12-09030731,1,1,1,1,1,1,1,20230101,20231209                                                                                                                                                                                                                                                                                                    
2022-12-172022-12-17030732,1,1,1,1,1,1,1,20221217,20221217                                                                                                                                                                                                                                                                                                    
2022-12-182022-12-23030732,1,1,1,1,1,1,1,20221218,20221223                                                                                                                                                                                                                                                                                                    
2022-12-242022-12-24030732,1,1,1,1,1,1,1,20221224,20221224                                                                                                                                                                                                                                                                                                    
2022-12-252022-12-30030732,1,1,1,1,1,1,1,20221225,20221230                                                                                                                                                                                                                                                                                                    
2022-12-312022-12-31030732,1,1,1,1,1,1,1,20221231,20221231                                                                                                                                                                                                                                                                                                    
2023-01-012023-12-09030732,1,1,1,1,1,1,1,20230101,20231209                                                                                                                                                                                                                                                                                                    
2022-12-132022-12-16030733,1,1,1,1,1,1,1,20221213,20221216                                                                                                                                                                                                                                                                                                    
2022-12-182022-12-23030733,1,1,1,1,1,1,1,20221218,20221223                                                                                                                                                                                                                                                                                                    
2022-12-252022-12-30030733,1,1,1,1,1,1,1,20221225,20221230                                                                                                                                                                                                                                                                                                    
2023-01-012023-12-09030733,1,1,1,1,1,1,1,20230101,20231209                                                                                                                                                                                                                                                                                                    
2022-12-132022-12-16030801,1,1,1,1,1,1,1,20221213,20221216                                                                                                                                                                                                                                                                                                    
2022-12-172022-12-17030801,1,1,1,1,1,1,1,20221217,20221217                                                                                                                                                                                                                                                                                                    
2022-12-182022-12-23030801,1,1,1,1,1,1,1,20221218,20221223                                                                                                                                                                                                                                                                                                    
2023-01-162023-03-19030801,1,1,1,1,1,1,1,20230116,20230319                                                                                                                                                                                                                                                                                                    
2023-03-212023-03-31030801,1,1,1,1,1,1,1,20230321,20230331                                                                                                                                                                                                                                                                                                    
2022-12-132022-12-16030811,1,1,1,1,1,1,1,20221213,20221216                                                                                                                                                                                                                                                                                                    
2022-12-182022-12-23030811,1,1,1,1,1,1,1,20221218,20221223                                                                                                                                                                                                                                                                                                    
2023-01-092023-03-19030811,1,1,1,1,1,1,1,20230109,20230319                                                                                                                                                                                                                                                                                                    
2023-03-212023-03-31030811,1,1,1,1,1,1,1,20230321,20230331                                                                                                                                                                                                                                                                                                    
2022-12-132022-12-16030821,1,1,1,1,1,1,1,20221213,20221216                                                                                                                                                                                                                                                                                                    
2022-12-172022-12-17030821,1,1,1,1,1,1,1,20221217,20221217                                                                                                                                                                                                                                                                                                    
2022-12-182022-12-23030821,1,1,1,1,1,1,1,20221218,20221223                                                                                                                                                                                                                                                                                                    
2022-12-242022-12-24030821,1,1,1,1,1,1,1,20221224,20221224                                                                                                                                                                                                                                                                                                    
2022-12-252022-12-30030821,1,1,1,1,1,1,1,20221225,20221230                                                                                                                                                                                                                                                                                                    
2022-12-312022-12-31030821,1,1,1,1,1,1,1,20221231,20221231                                                                                                                                                                                                                                                                                                    
