service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date                                                                                                                                                                                                                                                                       
2023-04-062023-04-06005621,1,1,1,1,1,1,1,20230406,20230406                                                                                                                                                                                                                                                                                                    
2023-04-082023-06-30005621,1,1,1,1,1,1,1,20230408,20230630                                                                                                                                                                                                                                                                                                    
2022-12-132023-04-08005631,1,1,1,1,1,1,1,20221213,20230408                                                                                                                                                                                                                                                                                                    
2023-04-102023-04-10005631,1,1,1,1,1,1,1,20230410,20230410                                                                                                                                                                                                                                                                                                    
2023-04-112023-04-29005631,1,1,1,1,1,1,1,20230411,20230429                                                                                                                                                                                                                                                                                                    
2023-05-012023-05-01005631,1,1,1,1,1,1,1,20230501,20230501                                                                                                                                                                                                                                                                                                    
2023-05-022023-06-30005631,1,1,1,1,1,1,1,20230502,20230630                                                                                                                                                                                                                                                                                                    
2022-12-132023-06-11006001,1,1,1,1,1,1,1,20221213,20230611                                                                                                                                                                                                                                                                                                    
2022-12-132023-01-05006011,1,1,1,1,1,1,1,20221213,20230105                                                                                                                                                                                                                                                                                                    
2023-01-072023-04-06006011,1,1,1,1,1,1,1,20230107,20230406                                                                                                                                                                                                                                                                                                    
2023-04-082023-04-30006011,1,1,1,1,1,1,1,20230408,20230430                                                                                                                                                                                                                                                                                                    
2023-05-022023-06-11006011,1,1,1,1,1,1,1,20230502,20230611                                                                                                                                                                                                                                                                                                    
2022-12-132023-06-11006021,1,1,1,1,1,1,1,20221213,20230611                                                                                                                                                                                                                                                                                                    
2022-12-132023-06-11006031,1,1,1,1,1,1,1,20221213,20230611                                                                                                                                                                                                                                                                                                    
2022-12-132023-06-11006051,1,1,1,1,1,1,1,20221213,20230611                                                                                                                                                                                                                                                                                                    
2022-12-132023-06-11006061,1,1,1,1,1,1,1,20221213,20230611                                                                                                                                                                                                                                                                                                    
2022-12-132023-01-04006081,1,1,1,1,1,1,1,20221213,20230104                                                                                                                                                                                                                                                                                                    
2023-01-072023-04-04006081,1,1,1,1,1,1,1,20230107,20230404                                                                                                                                                                                                                                                                                                    
2023-04-052023-04-07006081,1,1,1,1,1,1,1,20230405,20230407                                                                                                                                                                                                                                                                                                    
2023-04-082023-06-11006081,1,1,1,1,1,1,1,20230408,20230611                                                                                                                                                                                                                                                                                                    
2022-12-132023-06-11006091,1,1,1,1,1,1,1,20221213,20230611                                                                                                                                                                                                                                                                                                    
2022-12-132023-06-11006092,1,1,1,1,1,1,1,20221213,20230611                                                                                                                                                                                                                                                                                                    
2022-12-132023-06-11006101,1,1,1,1,1,1,1,20221213,20230611                                                                                                                                                                                                                                                                                                    
2022-12-132023-03-18006121,1,1,1,1,1,1,1,20221213,20230318                                                                                                                                                                                                                                                                                                    
2023-03-192023-03-20006121,1,1,1,1,1,1,1,20230319,20230320                                                                                                                                                                                                                                                                                                    
2023-03-212023-04-29006121,1,1,1,1,1,1,1,20230321,20230429                                                                                                                                                                                                                                                                                                    
2023-04-302023-05-02006121,1,1,1,1,1,1,1,20230430,20230502                                                                                                                                                                                                                                                                                                    
2023-05-032023-05-13006121,1,1,1,1,1,1,1,20230503,20230513                                                                                                                                                                                                                                                                                                    
2023-05-142023-05-15006121,1,1,1,1,1,1,1,20230514,20230515                                                                                                                                                                                                                                                                                                    
2023-05-162023-06-11006121,1,1,1,1,1,1,1,20230516,20230611                                                                                                                                                                                                                                                                                                    
2022-12-132023-01-05006131,1,1,1,1,1,1,1,20221213,20230105                                                                                                                                                                                                                                                                                                    
2023-01-072023-04-04006131,1,1,1,1,1,1,1,20230107,20230404                                                                                                                                                                                                                                                                                                    
2023-04-052023-04-05006131,1,1,1,1,1,1,1,20230405,20230405                                                                                                                                                                                                                                                                                                    
2023-04-102023-04-10006131,1,1,1,1,1,1,1,20230410,20230410                                                                                                                                                                                                                                                                                                    
2023-04-112023-04-29006131,1,1,1,1,1,1,1,20230411,20230429                                                                                                                                                                                                                                                                                                    
2023-05-012023-05-01006131,1,1,1,1,1,1,1,20230501,20230501                                                                                                                                                                                                                                                                                                    
2023-05-022023-05-13006131,1,1,1,1,1,1,1,20230502,20230513                                                                                                                                                                                                                                                                                                    
2023-05-152023-06-11006131,1,1,1,1,1,1,1,20230515,20230611                                                                                                                                                                                                                                                                                                    
2022-12-132023-02-23006211,1,1,1,1,1,1,1,20221213,20230223                                                                                                                                                                                                                                                                                                    
2022-12-132023-02-23006212,1,1,1,1,1,1,1,20221213,20230223                                                                                                                                                                                                                                                                                                    
2022-12-132023-02-23006213,1,1,1,1,1,1,1,20221213,20230223                                                                                                                                                                                                                                                                                                    
2022-12-132023-02-23006214,1,1,1,1,1,1,1,20221213,20230223                                                                                                                                                                                                                                                                                                    
2022-12-132023-02-23006221,1,1,1,1,1,1,1,20221213,20230223                                                                                                                                                                                                                                                                                                    
2022-12-132023-02-23006222,1,1,1,1,1,1,1,20221213,20230223                                                                                                                                                                                                                                                                                                    
2022-12-132023-02-23006223,1,1,1,1,1,1,1,20221213,20230223                                                                                                                                                                                                                                                                                                    
2022-12-132023-02-23006224,1,1,1,1,1,1,1,20221213,20230223                                                                                                                                                                                                                                                                                                    
2022-12-132023-02-23006225,1,1,1,1,1,1,1,20221213,20230223                                                                                                                                                                                                                                                                                                    
2022-12-132023-02-23006226,1,1,1,1,1,1,1,20221213,20230223                                                                                                                                                                                                                                                                                                    
2022-12-132023-02-23006251,1,1,1,1,1,1,1,20221213,20230223                                                                                                                                                                                                                                                                                                    
2022-12-132023-02-23006252,1,1,1,1,1,1,1,20221213,20230223                                                                                                                                                                                                                                                                                                    
2022-12-132023-02-23006253,1,1,1,1,1,1,1,20221213,20230223                                                                                                                                                                                                                                                                                                    
2022-12-132023-02-23006254,1,1,1,1,1,1,1,20221213,20230223                                                                                                                                                                                                                                                                                                    
2022-12-132023-02-23006261,1,1,1,1,1,1,1,20221213,20230223                                                                                                                                                                                                                                                                                                    
2022-12-132023-02-23006262,1,1,1,1,1,1,1,20221213,20230223                                                                                                                                                                                                                                                                                                    
2022-12-132023-02-23006263,1,1,1,1,1,1,1,20221213,20230223                                                                                                                                                                                                                                                                                                    
2022-12-132023-02-23006264,1,1,1,1,1,1,1,20221213,20230223                                                                                                                                                                                                                                                                                                    
2022-12-132023-02-23006265,1,1,1,1,1,1,1,20221213,20230223                                                                                                                                                                                                                                                                                                    
2022-12-132023-02-23006266,1,1,1,1,1,1,1,20221213,20230223                                                                                                                                                                                                                                                                                                    
2022-12-132023-02-23006311,1,1,1,1,1,1,1,20221213,20230223                                                                                                                                                                                                                                                                                                    
2022-12-132023-02-23006313,1,1,1,1,1,1,1,20221213,20230223                                                                                                                                                                                                                                                                                                    
2022-12-132023-02-23006314,1,1,1,1,1,1,1,20221213,20230223                                                                                                                                                                                                                                                                                                    
2022-12-132023-02-23006321,1,1,1,1,1,1,1,20221213,20230223                                                                                                                                                                                                                                                                                                    
2022-12-132023-02-23006322,1,1,1,1,1,1,1,20221213,20230223                                                                                                                                                                                                                                                                                                    
2022-12-132023-02-23006323,1,1,1,1,1,1,1,20221213,20230223                                                                                                                                                                                                                                                                                                    
2022-12-132023-02-23006324,1,1,1,1,1,1,1,20221213,20230223                                                                                                                                                                                                                                                                                                    
2022-12-132023-01-29006941,1,1,1,1,1,1,1,20221213,20230129                                                                                                                                                                                                                                                                                                    
2022-12-132023-01-29006942,1,1,1,1,1,1,1,20221213,20230129                                                                                                                                                                                                                                                                                                    
2022-12-132023-01-29006971,1,1,1,1,1,1,1,20221213,20230129                                                                                                                                                                                                                                                                                                    
2022-12-132023-01-29006972,1,1,1,1,1,1,1,20221213,20230129                                                                                                                                                                                                                                                                                                    
2022-12-132022-12-23007011,1,1,1,1,1,1,1,20221213,20221223                                                                                                                                                                                                                                                                                                    
2022-12-252022-12-30007011,1,1,1,1,1,1,1,20221225,20221230                                                                                                                                                                                                                                                                                                    
