route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible                                                                                                                                                                                                                                                
1151178400GL023,2022-12-132023-01-29005332,0053322022-12-13,,00533,,,,2                                                                                                                                                                                                                                                                                       
2030922100GL026,2022-12-142023-01-04005581,0055812022-12-14,,00558,,,,1                                                                                                                                                                                                                                                                                       
2030922100GL026,2023-01-062023-03-18005581,0055812023-01-06,,00558,,,,1                                                                                                                                                                                                                                                                                       
2030922100GL026,2023-03-202023-03-20005581,0055812023-03-20,,00558,,,,1                                                                                                                                                                                                                                                                                       
2210020309GL026,2022-12-142023-01-04005601,0056012022-12-14,,00560,,,,1                                                                                                                                                                                                                                                                                       
2210020309GL026,2023-01-062023-03-18005601,0056012023-01-06,,00560,,,,1                                                                                                                                                                                                                                                                                       
2210020309GL026,2023-03-202023-03-20005601,0056012023-03-20,,00560,,,,1                                                                                                                                                                                                                                                                                       
7180180100GL026,2022-12-132023-01-04005621,0056212022-12-13,,00562,,,,1                                                                                                                                                                                                                                                                                       
7180180100GL026,2023-01-052023-01-05005621,0056212023-01-05,,00562,,,,1                                                                                                                                                                                                                                                                                       
7180180100GL026,2023-01-072023-04-05005621,0056212023-01-07,,00562,,,,1                                                                                                                                                                                                                                                                                       
7180180100GL026,2023-04-062023-04-06005621,0056212023-04-06,,00562,,,,1                                                                                                                                                                                                                                                                                       
7180180100GL026,2023-04-082023-06-30005621,0056212023-04-08,,00562,,,,1                                                                                                                                                                                                                                                                                       
8010071801GL026,2022-12-132023-04-08005631,0056312022-12-13,,00563,,,,1                                                                                                                                                                                                                                                                                       
8010071801GL026,2023-04-102023-04-10005631,0056312023-04-10,,00563,,,,1                                                                                                                                                                                                                                                                                       
8010071801GL026,2023-04-112023-04-29005631,0056312023-04-11,,00563,,,,1                                                                                                                                                                                                                                                                                       
8010071801GL026,2023-05-012023-05-01005631,0056312023-05-01,,00563,,,,1                                                                                                                                                                                                                                                                                       
8010071801GL026,2023-05-022023-06-30005631,0056312023-05-02,,00563,,,,1                                                                                                                                                                                                                                                                                       
8010060000GL023,2022-12-132023-06-11006001,0060012022-12-13,,00600,,,,1                                                                                                                                                                                                                                                                                       
6000080100GL023,2022-12-132023-01-05006011,0060112022-12-13,,00601,,,,1                                                                                                                                                                                                                                                                                       
6000080100GL023,2023-01-072023-04-06006011,0060112023-01-07,,00601,,,,1                                                                                                                                                                                                                                                                                       
6000080100GL023,2023-04-082023-04-30006011,0060112023-04-08,,00601,,,,1                                                                                                                                                                                                                                                                                       
